12647,12884,15770
12656,12865,15706
12675,12856,15732
12654,12913,15732
12652,12862,15764
12654,12850,15744
12660,12885,15776
12636,12930,15771
12649,12904,15723
12658,12819,15693
12613,12865,15693
12635,12913,15756
12667,12897,15800
12682,12887,15795
12733,12894,15787
12731,12834,15718
12710,12836,15621
12687,12831,15619
12627,12898,15756
12684,12994,15913
12777,12927,15960
12926,12787,15736
12904,12817,15634
12743,12746,15641
12667,12782,15766
12602,12890,15720
12583,12919,15738
12661,12938,15793
12873,12836,15795
12839,12763,15705
12889,12753,15714
12785,12811,15726
12684,12854,15734
12652,12858,15755
12678,12861,15745
12735,12795,15718
12796,12792,15753
12784,12835,15781
12697,12869,15706
12691,12823,15722
12734,12829,15723
12759,12825,15761
12762,12830,15766
12788,12882,15733
12699,12831,15750
12635,12808,15765
12688,12845,15705
12698,12844,15693
12766,12834,15765
12831,12819,15748
12826,12795,15752
12754,12856,15769
12768,12849,15676
12800,12832,15718
12803,12814,15804
12850,12818,15762
12846,12829,15712
12808,12847,15756
12783,12888,15762
12789,12925,15794
12779,12813,15737
12865,12773,15712
12976,12759,15751
12987,12774,15748
12879,12860,15773
12840,12884,15791
12833,12898,15739
12839,12841,15752
12845,12816,15694
12894,12823,15807
12866,12878,15805
12870,12840,15723
12886,12847,15706
12855,12830,15713
12831,12856,15717
12852,12850,15726
12890,12853,15793
12916,12830,15790
12895,12868,15753
12869,12880,15727
12841,12878,15733
12849,12864,15776
12880,12896,15793
12912,12864,15718
12885,12882,15686
12872,12848,15751
12887,12870,15839
12841,12895,15763
12851,12880,15715
12861,12881,15740
12846,12901,15772
12894,12871,15764
12913,12840,15751
12881,12884,15763
12852,12908,15763
12868,12888,15749
12889,12899,15745
12929,12886,15744
12925,12883,15751
12921,12842,15769
12918,12858,15741
12835,12935,15732
12830,12966,15784
12762,12935,15778
12871,12910,15751
13001,12848,15760
12899,12922,15719
12824,12954,15734
12806,12966,15778
12791,13005,15786
12757,12939,15760
12850,12873,15721
12891,12904,15733
12848,12949,15781
12852,12955,15799
12885,12911,15742
12845,12951,15736
12794,12962,15775
12841,12961,15802
12911,12892,15734
12820,12932,15700
12764,12987,15767
12871,12924,15808
12870,12924,15721
12820,12920,15719
12810,12935,15790
12837,12946,15766
12837,12926,15703
12810,12926,15745
12855,12957,15787
12841,12879,15775
12781,12904,15797
12816,13039,15789
12778,13004,15697
12715,13018,15707
12793,12930,15818
12717,13017,15738
12692,12922,15734
12694,12924,15768
12919,12883,15760
12782,12932,15716
12716,13022,15776
12698,13011,15747
12755,12913,15717
12807,12934,15786
12767,12978,15776
12775,12971,15744
12809,12915,15748
12796,12918,15727
12734,12976,15785
12756,12947,15776
12779,12933,15737
12774,12959,15757
12789,12947,15758
12784,12945,15721
12674,12992,15790
12841,12929,15766
12974,12846,15691
12921,12879,15742
12847,12917,15772
12879,12935,15778
12891,12912,15747
12889,12914,15739
12860,12914,15774
12834,12917,15757
12885,12951,15726
12876,12940,15776
12878,12932,15773
12897,12929,15739
12879,12953,15779
12907,12939,15741
12906,12971,15768
12904,12910,15749
12875,12934,15747
12916,12925,15767
12910,12926,15741
12899,12927,15746
12920,12948,15773
12916,12960,15768
12896,12932,15754
12882,12943,15736
12902,12930,15760
12956,12923,15761
12908,12946,15757
12924,12949,15749
12916,12933,15756
12894,12949,15783
12910,12909,15754
12887,12923,15724
12952,12918,15741
12965,12941,15773
12954,12940,15765
12919,12905,15731
12912,12916,15751
12938,12925,15764
12930,12919,15759
12921,12917,15730
12944,12915,15777
12913,12913,15763
12926,12919,15733
12930,12913,15744
12945,12928,15757
12936,12920,15757
12888,12904,15761
12845,12932,15743
12844,12948,15782
12855,12953,15777
12891,12940,15764
12891,12929,15763
12856,12928,15766
12877,12935,15760
12899,12943,15763
12857,12935,15746
12865,12940,15748
12880,12913,15757
12871,12929,15747
12875,12926,15788
12919,12915,15733
12866,12934,15751
12891,12947,15774
12909,12925,15740
12892,12936,15760
12900,12942,15759
12885,12926,15770
12880,12908,15750
12890,12931,15774
12915,12910,15744
12918,12921,15733
12918,12936,15759
12912,12953,15782
12911,12910,15739
12892,12902,15727
12901,12927,15771
12905,12931,15759
12924,12923,15720
12920,12942,15777
12913,12926,15760
12877,12951,15731
12920,12914,15791
12883,12924,15739
12844,12969,15771
12902,12957,15758
12876,12916,15722
12875,12938,15761
12907,12946,15757
12883,12946,15743
12862,12941,15740
12868,12946,15780
12873,12941,15771
12862,12943,15732
12911,12911,15758
12894,12934,15749
12875,12929,15751
12884,12945,15783
12890,12919,15732
12884,12923,15734
12907,12933,15763
12888,12937,15771
12881,12946,15777
12860,12930,15774
12871,12943,15750
12935,12910,15733
12958,12869,15709
12997,12870,15729
12910,12914,15766
12883,12886,15748
12949,12912,15745
12928,12935,15796
12891,12939,15755
12930,12918,15735
12911,12926,15756
12905,12915,15753
12930,12915,15732
12898,12933,15829
12915,12937,15754
12934,12948,15733
12936,12909,15744
12887,12951,15779
12902,12937,15753
12938,12891,15720
12897,12948,15792
12906,12952,15785
12941,12920,15717
12972,12935,15761
12955,12932,15778
12902,12927,15761
12906,12919,15749
12939,12904,15760
12933,12950,15768
12995,12934,15718
13055,12877,15720
12970,12929,15759
12865,12953,15744
12886,12934,15777
12904,12925,15793
12907,12978,15754
12916,12932,15738
12950,12930,15771
12948,12922,15756
12921,12918,15749
12979,12960,15797
12936,12944,15717
12982,12891,15722
12957,12920,15770
12959,12923,15740
12916,12953,15768
12926,12906,15755
12962,12925,15737
12996,12934,15751
12959,12955,15765
12939,12928,15748
12941,12962,15780
12925,12951,15775
12948,12914,15731
12988,12909,15764
12978,12957,15739
12917,12952,15755
12950,12934,15773
12921,12928,15757
12926,12937,15736
12948,12939,15771
12972,12948,15747
12941,12928,15750
12964,12937,15773
12929,12956,15755
12929,12944,15760
12931,12923,15748
12954,12933,15736
12944,12967,15769
12976,12935,15768
12926,12969,15749
12958,12993,15720
13008,12896,15755
12956,12902,15745
12908,12944,15758
12948,12937,15765
12974,12926,15746
12967,12930,15752
12966,12950,15767
12974,12949,15760
12980,12953,15751
12961,12943,15770
12956,12936,15782
12946,12944,15753
12931,12962,15746
12973,12928,15739
12961,12949,15766
12894,12975,15770
12898,12972,15742
12953,12980,15758
12911,12995,15789
12945,12954,15768
12960,12956,15751
12931,12934,15755
12963,12981,15789
12981,12952,15715
12984,12915,15719
13017,12950,15784
12941,12973,15755
12976,12953,15744
12987,12965,15763
12956,12969,15774
12955,12949,15750
12959,12977,15776
12979,12954,15754
12981,12962,15763
12921,12994,15798
12935,12964,15762
12968,12957,15738
13011,12932,15722
13034,12942,15765
12962,12949,15763
12998,12978,15736
13016,12952,15760
12966,12979,15750
12965,12988,15787
12967,12956,15763
12982,12944,15726
12954,12977,15768
12955,13002,15775
12921,13015,15749
12901,13014,15794
12883,13041,15768
12964,12958,15687
12786,13117,15806
12935,13139,15731
12888,13062,15951
12476,12830,15848
13007,12793,15599
13403,12909,15511
13471,12864,15944
12789,13141,15784
12811,13037,15713
12772,12955,15808
12918,13126,15767
12853,12901,15737
12883,12881,15749
12907,13001,15712
12890,12999,15782
12810,12963,15799
12944,13114,15771
12703,13215,15847
12683,12941,15646
13100,12759,15673
12994,12948,15746
12847,12931,15745
12804,12967,15714
12831,13013,15779
12801,13017,15870
12666,12956,15884
12744,13005,15609
12849,12960,15670
13041,12941,15821
