12935,13813,14553
12162,14410,15017
11968,14701,15748
13601,14311,16480
13197,14843,17213
12882,14745,15468
13319,13658,14315
14116,12833,14619
13185,13093,14970
12789,12683,15744
12233,12460,17344
13360,13415,17999
13767,14824,17945
12699,14888,16448
12394,14225,14562
12378,14296,14914
11958,14580,14992
12049,14301,15032
12005,14975,16155
13064,14953,16575
12848,14386,15853
13117,14060,15223
13423,13139,14073
13995,12830,13957
13072,13452,14932
13442,14020,15695
13389,13837,16779
13732,15638,18484
13257,15681,17829
12136,15462,15953
11896,14541,14394
12271,13935,13753
12271,13867,13964
11949,14126,14790
12116,14958,16070
13272,15523,17037
12763,14999,15105
12932,13949,15035
12955,13080,15266
13201,13027,14266
13684,14523,15852
13075,14914,16462
13641,14472,17657
13298,15302,17378
12248,15729,15959
11544,14632,14907
11551,14378,13483
11828,14302,14109
11973,14638,13901
11984,14248,14934
12988,13829,16254
13145,14412,16963
12598,14443,15299
13763,13380,14669
13696,12386,14650
13800,12662,15157
13318,13407,16630
12708,14200,17038
15588,14923,19673
11681,16253,17493
12993,13955,14126
12842,13815,13291
12066,14355,13866
12109,13858,13808
11704,14067,16128
13448,14747,16272
14315,15843,17094
12765,15903,15332
14442,13815,13527
13328,13121,14726
12594,12964,14463
13597,12696,15643
13341,13570,16389
17462,13338,18597
12713,16633,18601
12816,14146,14870
12915,13621,13807
12047,14111,13625
12304,14085,14280
11793,14735,16656
13430,14063,15975
14981,14674,16448
13177,14980,15121
13972,13309,13219
13993,13035,13626
13175,13413,14568
13193,13914,16275
12658,14100,17245
16222,15197,18868
13011,17420,17960
13162,14244,14757
12900,13907,13990
11985,14276,13717
11858,14277,13785
11577,14547,13731
14292,13030,14704
11766,17064,18822
14442,14286,15366
14664,13730,15307
13827,14167,14748
13854,13737,15363
12897,14193,16057
13710,13292,16290
14447,15333,20021
11726,16286,17989
12970,13979,14623
12776,13930,13751
12166,13996,13132
12124,14128,13313
11942,14772,14467
13451,13939,15438
14098,16182,17235
14645,15074,15643
14402,14302,14354
13247,13748,14511
13417,13610,14676
13765,13674,15894
13269,13599,16039
14587,13692,17708
13755,18049,19016
13368,16583,16360
13242,14734,14454
12993,13917,13693
12759,13914,13678
