12363,12646,15673
12440,12759,15643
12435,12718,15679
12457,12755,15660
12398,12629,15720
12428,12721,15699
12492,12824,15627
12631,12897,15729
12684,12842,15733
12668,12735,15773
12573,12759,15695
12432,12740,15673
12505,12820,15688
12610,12759,15745
12548,12728,15737
12535,12772,15689
12552,12759,15677
12533,12710,15748
12549,12715,15697
12574,12748,15694
12564,12686,15743
12597,12719,15688
12566,12728,15711
12567,12692,15739
12560,12702,15683
12530,12688,15700
12511,12703,15697
12534,12711,15696
12559,12737,15699
12537,12689,15709
12499,12702,15727
12535,12751,15671
12533,12696,15711
12539,12746,15695
12563,12712,15721
12525,12674,15699
12488,12668,15688
12540,12718,15702
12524,12701,15699
12491,12664,15684
12472,12674,15687
12478,12704,15677
12497,12684,15694
12465,12658,15695
12494,12683,15693
12597,12713,15741
12637,12668,15729
12543,12687,15660
12487,12680,15676
12505,12669,15712
12544,12684,15703
12517,12687,15695
12509,12701,15684
12527,12673,15713
12520,12667,15690
12509,12708,15686
12491,12665,15712
12469,12682,15664
12485,12704,15681
12513,12674,15691
12504,12664,15690
12494,12659,15688
12456,12664,15684
12466,12691,15668
12468,12684,15683
12450,12646,15694
12458,12689,15672
12460,12640,15676
12468,12657,15682
12446,12677,15664
12445,12658,15679
12452,12626,15680
12435,12691,15668
12505,12702,15687
12473,12614,15698
12434,12656,15657
12463,12677,15683
12498,12685,15715
12484,12662,15698
12426,12643,15642
12432,12671,15669
12460,12643,15689
12424,12637,15651
12390,12662,15682
12427,12681,15651
12461,12649,15690
12439,12642,15682
12445,12685,15668
12414,12646,15671
12415,12667,15654
12420,12638,15692
12407,12640,15670
12427,12709,15649
12445,12648,15677
12437,12671,15681
12392,12656,15653
12380,12665,15657
12431,12680,15676
12425,12645,15663
12410,12630,15670
12394,12642,15658
12388,12649,15662
12388,12654,15657
12398,12652,15661
12385,12625,15664
12402,12644,15644
12400,12629,15693
12389,12621,15658
12384,12623,15665
12390,12617,15660
12415,12647,15662
12406,12614,15677
12393,12626,15647
12418,12619,15674
12404,12603,15665
12353,12625,15629
12379,12638,15653
12414,12605,15669
