12944,13234,16837
12890,13236,16053
12721,13217,15523
12821,13179,16020
12907,13336,15367
12626,13381,15111
12795,13513,15001
12773,13586,15324
13010,13758,15517
13045,13833,15994
12957,13986,15883
12668,13813,16319
12801,13868,16292
12798,13804,15699
12400,13793,15594
12595,13656,15821
12607,13457,15555
12660,13494,15312
12743,13602,15248
12691,13706,15418
12680,13708,15831
12748,13899,15773
12499,13679,16205
12654,13699,16391
12981,13521,15951
12260,13614,15552
12359,13487,16088
12648,13414,15890
12852,13639,14994
12863,13671,15060
12911,13619,15207
13208,13739,16077
13472,13939,15536
12659,13872,16144
12565,13909,15812
12796,13763,16509
12814,13696,15456
12804,13754,15651
12769,13377,16010
12954,13483,15368
12599,13440,15496
13010,13492,15313
13244,13499,15689
13108,13583,15820
12811,13573,15922
13395,13433,16195
12835,13513,16573
13078,13123,15948
12902,13165,15757
13088,12982,15825
13108,13095,15307
12888,13113,15524
12916,13420,15239
12991,13503,15528
13207,13419,15551
13261,13608,15736
13068,13568,16041
13068,13536,16106
12943,13502,16321
12651,13391,15757
12609,13600,15173
12613,13506,15653
12382,13304,15851
12463,13246,15601
13002,13307,15522
13004,13397,15579
12880,13407,15790
13118,13305,15985
13350,13191,16251
12976,13160,15913
13346,13352,17367
12923,12686,15828
12577,12836,15291
13880,12922,15743
13110,12802,15550
13024,13087,15396
13248,13229,15224
13414,13214,15433
13271,13202,15652
13651,13330,15606
13530,13241,16132
13172,13263,16136
13096,13085,16541
13035,13345,15915
13294,13232,15613
13200,13386,15624
13256,13262,15214
13568,13160,15141
13513,13172,15455
13480,13304,15439
13621,13113,15761
13389,13369,15903
13339,13356,16169
13177,13092,16527
13320,12926,15758
13312,12853,15695
13347,12843,15690
13214,13002,15610
13322,13021,15093
13480,12982,15293
13438,12984,15474
13524,12951,15666
13647,13044,16063
13371,13215,16295
13632,13070,16302
12976,13329,16240
13304,13219,15590
13153,13264,15838
13005,13449,15665
13179,13152,15456
13262,13313,15169
13172,13182,15516
13194,13412,15627
13360,13219,15787
13256,13407,16055
13204,13186,16133
13050,13270,16312
12834,12916,15910
13042,12814,15592
13010,12995,15814
12719,13140,15802
12781,13169,15528
13196,13220,15334
13227,13284,15484
13342,13524,15616
13367,13676,15626
13475,13877,15834
13440,13974,15968
13282,14093,15903
13124,14114,15565
13364,14399,15357
13283,14200,15623
13428,13957,15230
13554,13669,15068
13645,13734,15137
13692,14141,15135
13749,14002,15344
13804,13857,15433
13738,14201,15812
13532,14385,16435
13170,13618,15859
13364,13538,15905
13124,13576,15672
12924,13562,15720
12994,13461,15106
13282,13562,15282
13055,13482,15352
13201,13910,15480
13124,13651,16017
13034,13774,15857
12955,13584,16385
12526,13645,16102
12599,13418,15737
12622,13428,15818
12646,13400,15587
12819,13436,15407
12861,13496,15378
13075,13291,15573
12886,13256,15845
13099,13200,15934
12777,13176,16131
12980,13004,16290
12336,12971,16363
12629,12481,15743
12973,12926,15512
12722,12530,15880
12576,12810,15622
12660,12839,15349
12807,13015,15395
12965,12736,15529
12934,12485,15588
12401,12672,16081
12763,12822,16078
12226,12118,15896
12432,12639,15834
12416,12707,15984
12441,12449,15725
12689,12785,15414
12878,12658,15383
12724,12759,15476
12997,12645,15280
12963,12517,15761
12832,12415,15896
12865,12361,15879
12800,12268,16097
12639,12296,15864
12844,12511,15728
12734,12341,15691
12585,12469,15544
12892,12679,15255
13063,12827,15190
13199,12851,15404
13141,12588,15806
13070,12860,15932
13040,12508,15878
13008,12628,16285
12646,12591,16035
12857,12740,15603
13083,12426,15664
12948,12699,15671
12963,12716,15362
13192,12672,15259
13071,12691,15431
13044,12675,15523
13131,12704,15776
13020,12381,16158
12882,12504,16390
12704,12119,16331
12666,12216,15759
13091,12192,15430
13043,12353,15496
12800,12495,15297
13003,12519,15033
13190,12673,15051
13294,12628,15291
13041,12596,15678
13209,12573,15957
12894,12429,16290
12916,12460,16383
12292,12293,16220
12946,12430,15585
12902,12429,15719
12521,12436,15476
12913,12481,15217
12980,12502,15435
12851,12722,15299
13130,12724,15461
13075,12438,15853
13030,12186,16167
12690,12227,16294
12725,12154,15923
12820,12040,15612
12874,12033,15537
12728,12356,15532
12865,12513,15184
13016,12595,15142
13066,12610,15241
13076,12633,15659
13024,12519,15730
13046,12595,16013
12693,12482,16167
12844,12287,16193
12455,12431,15877
12952,12377,15722
12608,12413,15564
12859,12546,15380
13006,12464,15241
13029,12484,15285
13058,12576,15544
13207,12599,15488
13218,12343,16022
12857,12321,16192
12945,12273,16248
12742,12241,15672
13098,12197,15601
12763,12252,15863
12735,12588,15466
12908,12666,15322
13156,12811,15107
13225,12661,15301
13245,12769,15626
13157,12642,15766
13076,12629,16098
12888,12640,16102
12879,12348,16286
12668,12570,15707
13124,12593,15758
12591,12591,15851
12902,12562,15325
13023,12501,15360
13084,12574,15207
13144,12637,15415
13186,12719,15660
13179,12473,15984
12684,12220,16402
12857,12353,16282
12604,12120,15830
13040,12254,15574
12739,12233,15876
12728,12553,15462
12973,12635,15053
13076,12753,14938
13239,12772,15212
13113,12748,15600
13148,12842,16008
12769,12810,16268
12894,12774,16491
12442,12512,15932
12953,12465,15745
12773,12383,15846
12655,12636,15599
12877,12487,15207
13076,12584,15039
13011,12372,15350
13041,12572,15432
13232,12285,15674
13105,12095,16066
12505,11967,16337
12679,12229,15763
13119,12008,15557
12789,11899,15579
12737,12052,15483
12722,12358,15279
12976,12396,15110
13133,12433,15443
13068,12245,15592
13113,12442,16006
12719,12288,15993
12633,12424,16558
12492,12449,16094
12577,12622,15783
12678,12606,15597
12871,12599,15208
12917,12595,15214
13100,12965,15109
13115,12921,15062
13209,12791,15541
13206,12725,15905
13144,12455,16484
12915,12189,16843
12645,12413,15893
12778,12365,15891
12758,12440,15770
12632,12492,15467
12792,12822,14999
12956,12795,15076
12828,12676,15509
12912,12660,15584
12916,12535,15953
12760,12710,16183
12912,12452,15914
12564,12260,16278
12636,12171,15683
12847,12288,15732
12576,12583,15541
12969,12705,15289
13088,12582,15271
12811,12471,15504
13006,12323,15524
12992,12408,15728
13216,12776,15922
12709,11939,16175
12869,12321,15800
12933,12290,15780
12995,12039,15721
12801,12374,15526
13077,12711,15022
13188,12540,15454
12978,12730,15396
13275,12970,15490
13270,12904,15687
13244,12696,16216
12840,12781,16389
12602,12999,16252
12785,12835,15360
12937,12832,16226
12351,12655,16011
12939,12713,15292
13072,12709,15253
13008,13156,15304
13384,12984,15276
13177,12989,15629
12938,12842,15930
12872,12610,16374
12443,12725,16573
12067,12605,16494
12172,12837,15601
12419,12542,15682
12408,12617,15482
12400,12761,15368
12504,12942,15188
12562,12801,15049
12699,12908,15296
12649,12881,15683
12763,13111,15734
12336,12795,16272
12258,13009,16479
11864,12927,16337
12095,13267,15528
12254,13109,15604
12403,13078,15475
12383,12955,15150
12618,12669,15322
12778,13004,15193
12584,13130,15467
12753,13021,15702
12745,12994,16540
12206,12490,16595
12564,12818,16384
12690,12819,15383
13137,12743,15451
13084,12690,15640
12654,12890,15637
12882,13151,15038
13257,13057,15252
12884,13190,15522
12788,13160,15640
12814,13345,16080
12517,13294,16685
12158,13415,16793
11877,13164,16327
11785,13052,15311
12049,13283,15747
11990,13278,15012
11728,13045,15023
11939,13297,14981
11902,13039,14923
12267,13375,15022
11373,13102,15077
11199,13126,15459
10816,13059,15794
10605,12479,15585
10482,12419,15265
10879,12707,14890
10949,12664,14949
11340,12879,14590
11394,13230,13950
11187,13280,14278
11073,13450,13888
10740,13417,14365
10682,13725,13988
9909,13496,14137
9340,12953,14110
9654,12736,13919
10135,12957,13425
10140,12554,14944
10305,12743,13789
10522,12607,13954
11968,12916,14754
12102,12975,14815
12103,12850,15433
12790,13237,15647
12587,12871,15900
12239,12799,15690
11891,12463,16901
12168,12725,15608
11892,12623,15791
12654,12845,15847
12707,12800,15534
12526,12910,15123
12669,12880,15353
12969,13065,15729
12641,13091,15402
12692,13248,15444
13177,13361,16764
12438,12858,16331
12491,12625,16298
12433,12845,15716
12454,12792,15961
12541,13086,15469
12556,13059,15819
13156,13171,15112
13035,13109,15488
12806,13565,15985
13195,13300,15646
12998,13402,16222
13214,13067,16559
12807,13042,16693
